customer_id,name,age,mobile,account_type,balance,interest_rate,credit_score,city
C001,Amit Patel,50,9418993925,Savings,441633.00,4.0,795,Delhi
C002,Neha Gupta,46,9572409553,Savings,286302.00,4.0,673,Bangalore
C003,Priya Singh,32,9110535170,Current,536112.00,4.0,743,Hyderabad
C004,Sanjay Kumar,55,9211949969,Savings,293498.00,4.0,796,Ahmedabad
C005,Anjali Verma,53,9166216082,Current,203861.00,4.0,835,Chennai
C006,Vikram Reddy,55,9621656169,Savings,463101.00,4.0,726,Kolkata
C007,Deepak Rao,58,9155298873,Savings,521691.00,4.0,742,Pune
C008,Sunita Nair,36,9446101085,Savings,388445.00,4.0,615,Jaipur
C009,Rohan Das,50,9143106528,Savings,525669.00,4.0,824,Lucknow
C010,Kiran Joshi,33,9802958199,Savings,155092.00,4.0,653,Mumbai
C011,Meera Iyer,28,9862068077,Savings,346488.00,4.0,700,Delhi
C012,Arun Malhotra,39,9919648496,Savings,80696.00,4.0,698,Bangalore
C013,Suresh Prabhu,37,9220576864,Savings,134518.00,4.0,712,Hyderabad
C014,Pooja Hegde,57,9270429324,Current,350231.00,4.0,780,Ahmedabad
C015,Rajesh Khanna,51,9587651585,Savings,255159.00,4.0,822,Chennai
C016,Swati Kulkarni,48,9345358000,Savings,186154.00,4.0,823,Kolkata
C017,Aditya Bose,55,9590975414,Savings,375236.00,4.0,703,Pune
C018,Kavita Menon,27,9624597453,Current,542178.00,4.0,783,Jaipur
C019,Vijay Chauhan,55,9678929801,Current,191494.00,4.0,715,Lucknow
C020,Rahul Sharma,36,9910019814,Savings,404156.00,4.0,706,Mumbai
C021,Amit Patel,57,9802277370,Savings,167030.00,4.0,827,Delhi
C022,Neha Gupta,40,9788246700,Savings,319959.00,4.0,680,Bangalore
C023,Priya Singh,51,9823079174,Current,527289.00,4.0,848,Hyderabad
C024,Sanjay Kumar,61,9999125789,Savings,65732.00,4.0,662,Ahmedabad
C025,Anjali Verma,26,9815179050,Savings,362517.00,4.0,663,Chennai
C026,Vikram Reddy,28,9741900043,Savings,405750.00,4.0,732,Kolkata
C027,Deepak Rao,42,9101163682,Current,85378.00,4.0,842,Pune
C028,Sunita Nair,43,9613969142,Savings,166972.00,4.0,810,Jaipur
C029,Rohan Das,53,9266580598,Savings,298097.00,4.0,604,Lucknow
C030,Kiran Joshi,51,9477759255,Savings,129285.00,4.0,748,Mumbai
C031,Meera Iyer,48,9262434783,Savings,281461.00,4.0,814,Delhi
C032,Arun Malhotra,34,9641047042,Savings,515087.00,4.0,831,Bangalore
